architecture,train_time_mean,train_time_std,avg_epoch_time_mean,avg_epoch_time_std,mse_mean,mse_std,rmse_mean,rmse_std,mae_mean,mae_std,attack
BiLSTM,55.14388998349508,31.674706954180312,1.8185525200017456,0.2250561130138578,0.005212767968057758,0.0017141649002187576,0.07125010196533468,0.012008418066661636,0.045793933069540396,0.01356349529205537,FL_Load_POISON_UniD02
SoftDenseMoE,12.936688568856981,6.716972857814329,0.7063817784483366,0.038295499245222284,0.005971712913985054,0.00235757354601502,0.07581220960451497,0.015408155444127877,0.05663637299504545,0.018151332741712267,FL_Load_POISON_UniD02
SoftLSTMMoE,26.88715065850152,15.336498779070979,1.2538124372396608,0.08193793096704216,0.005238563572573993,0.0018205469585363362,0.07132856713400947,0.01263603861633547,0.04908652293185393,0.014559131510918167,FL_Load_POISON_UniD02
